frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
37,0.037,0.98,1,0.121,0.105,0.039,-0.084,-0.052,0.0,0.0,0.018,0.0,0.002,0.0,0.008,0.034,0.0,0.0,0.0,0.004,0.0,0.066,0.008,0.0,0.0
38,0.038,0.98,1,0.119,0.109,0.037,-0.083,-0.051,0.0,0.0,0.016,0.0,0.002,0.008,0.018,0.032,0.002,0.002,0.0,0.004,0.0,0.06,0.004,0.0,0.0
39,0.039,0.98,1,0.121,0.103,0.041,-0.083,-0.051,0.0,0.0,0.018,0.0,0.006,0.036,0.026000000000000002,0.032,0.002,0.012,0.0,0.008,0.0,0.05600000000000001,0.002,0.0,0.0
40,0.04,0.98,1,0.094,0.098,0.038,-0.083,-0.051,0.0,0.0,0.024,0.0,0.012,0.057999999999999996,0.034,0.02,0.002,0.016,0.0,0.014000000000000002,0.0,0.062,0.002,0.0,0.0
41,0.041,0.98,1,0.087,0.096,0.038,-0.084,-0.052,0.0,0.0,0.032,0.0,0.014000000000000002,0.076,0.03,0.01,0.0,0.032,0.0,0.014000000000000002,0.0,0.062,0.0,0.0,0.0
42,0.042,0.98,1,0.1,0.106,0.04,-0.083,-0.052,0.0,0.0,0.024,0.0,0.014000000000000002,0.08,0.022,0.0,0.0,0.024,0.0,0.012,0.0,0.066,0.0,0.0,0.0
43,0.043,0.98,1,0.096,0.099,0.04,-0.082,-0.053,0.0,0.0,0.014000000000000002,0.0,0.014000000000000002,0.08199999999999999,0.012,0.0,0.0,0.028000000000000004,0.0,0.006,0.0,0.06,0.004,0.0,0.0
44,0.044,0.98,1,0.095,0.087,0.04,-0.081,-0.053,0.0,0.0,0.004,0.0,0.012,0.09,0.008,0.0,0.002,0.022,0.0,0.006,0.0,0.05,0.008,0.0,0.0
45,0.045,0.98,1,0.09,0.087,0.041,-0.083,-0.052,0.0,0.002,0.012,0.008,0.008,0.072,0.014000000000000002,0.0,0.006,0.022,0.0,0.0,0.0,0.041999999999999996,0.02,0.0,0.0
46,0.046,0.98,1,0.081,0.092,0.041,-0.084,-0.051,0.0,0.016,0.016,0.012,0.004,0.078,0.024,0.0,0.008,0.014000000000000002,0.0,0.0,0.0,0.034,0.024,0.0,0.0
47,0.047,0.98,1,0.082,0.088,0.042,-0.085,-0.05,0.0,0.018,0.02,0.012,0.004,0.064,0.028000000000000004,0.008,0.006,0.004,0.0,0.0,0.0,0.034,0.02,0.0,0.0
48,0.048,0.98,1,0.071,0.086,0.041,-0.083,-0.049,0.0,0.028000000000000004,0.018,0.004,0.002,0.062,0.032,0.018,0.002,0.002,0.0,0.0,0.0,0.036,0.008,0.0,0.0
49,0.049,0.98,1,0.078,0.097,0.044,-0.083,-0.05,0.0,0.014000000000000002,0.018,0.0,0.006,0.038,0.028000000000000004,0.024,0.0,0.0,0.0,0.0,0.0,0.046,0.0,0.0,0.0
50,0.05,0.98,1,0.075,0.097,0.045,-0.083,-0.05,0.0,0.018,0.018,0.0,0.006,0.022,0.02,0.028000000000000004,0.0,0.0,0.0,0.004,0.0,0.05600000000000001,0.0,0.0,0.0
51,0.051,0.98,1,0.07,0.09,0.043,-0.082,-0.05,0.0,0.012,0.018,0.0,0.006,0.01,0.01,0.032,0.0,0.004,0.0,0.014000000000000002,0.0,0.064,0.0,0.0,0.0
52,0.052,0.98,1,0.066,0.093,0.043,-0.083,-0.051,0.0,0.012,0.016,0.0,0.002,0.02,0.014000000000000002,0.04,0.0,0.004,0.0,0.014000000000000002,0.0,0.064,0.0,0.0,0.0
53,0.053,0.98,1,0.066,0.078,0.041,-0.085,-0.051,0.0,0.004,0.008,0.0,0.002,0.038,0.012,0.036,0.0,0.004,0.0,0.01,0.0,0.066,0.0,0.0,0.0
54,0.054,0.98,1,0.066,0.082,0.042,-0.084,-0.051,0.0,0.0,0.004,0.0,0.0,0.066,0.01,0.026000000000000002,0.0,0.0,0.0,0.0,0.0,0.064,0.0,0.0,0.0
55,0.055,0.98,1,0.061,0.082,0.042,-0.083,-0.051,0.0,0.0,0.002,0.0,0.0,0.088,0.0,0.022,0.002,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0
56,0.056,0.98,1,0.062,0.09,0.042,-0.084,-0.052,0.0,0.004,0.002,0.002,0.002,0.10400000000000001,0.0,0.024,0.002,0.008,0.0,0.0,0.0,0.05600000000000001,0.0,0.0,0.0
57,0.057,0.98,1,0.062,0.092,0.044,-0.084,-0.051,0.0,0.008,0.006,0.002,0.002,0.118,0.004,0.03,0.002,0.02,0.0,0.0,0.0,0.05,0.0,0.0,0.0
58,0.058,0.98,1,0.059,0.111,0.041,-0.084,-0.051,0.0,0.014000000000000002,0.014000000000000002,0.002,0.002,0.10800000000000001,0.004,0.034,0.0,0.04,0.0,0.0,0.0,0.041999999999999996,0.0,0.0,0.0
59,0.059,0.98,1,0.071,0.132,0.043,-0.084,-0.051,0.0,0.016,0.026000000000000002,0.0,0.008,0.072,0.008,0.044,0.006,0.048,0.0,0.0,0.0,0.044,0.038,0.008,0.0
60,0.06,0.98,1,0.08,0.133,0.049,-0.083,-0.049,0.0,0.01,0.028000000000000004,0.0,0.008,0.04,0.014000000000000002,0.054000000000000006,0.012,0.04,0.0,0.0,0.0,0.036,0.064,0.016,0.0
61,0.061,0.98,1,0.074,0.132,0.048,-0.084,-0.048,0.0,0.006,0.024,0.0,0.014000000000000002,0.012,0.018,0.05600000000000001,0.018,0.046,0.0,0.0,0.0,0.05,0.088,0.016,0.0
62,0.062,0.98,1,0.077,0.138,0.051,-0.085,-0.049,0.0,0.0,0.016,0.0,0.012,0.014000000000000002,0.026000000000000002,0.068,0.028000000000000004,0.05600000000000001,0.0,0.0,0.0,0.068,0.06999999999999999,0.008,0.0
63,0.063,0.98,1,0.078,0.139,0.047,-0.086,-0.049,0.0,0.02,0.008,0.0,0.018,0.044,0.036,0.078,0.052000000000000005,0.1,0.0,0.01,0.01,0.1,0.044,0.0,0.0
64,0.064,0.98,1,0.075,0.147,0.05,-0.085,-0.05,0.0,0.02,0.004,0.0,0.028000000000000004,0.06,0.038,0.092,0.088,0.10400000000000001,0.0,0.012,0.01,0.122,0.024,0.0,0.0
65,0.065,0.98,1,0.077,0.144,0.049,-0.082,-0.052,0.0,0.02,0.006,0.0,0.048,0.092,0.024,0.10800000000000001,0.122,0.128,0.0,0.018,0.014000000000000002,0.136,0.014000000000000002,0.0,0.0
