frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
32,0.032,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03615537,4.251215e-08,0.08158726,0.04234009,0.05354513,0.0543632,0.07518553,0.05336326,0.06760927,0.06172954,0.02651235,0.02775357,0.08635868,0.0243244,0.03975252,0.08039787,0.0
33,0.033,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03607394,4.255323e-08,0.08150955,0.04239947,0.05345829,0.05441856,0.07518075,0.05314213,0.06777074,0.06167084,0.0264756,0.02772023,0.08605191,0.02402857,0.03967232,0.0805412,0.0
34,0.034,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03599217,4.244769e-08,0.08141179,0.04253878,0.05339321,0.0544396,0.07517707,0.05302008,0.06784,0.06149163,0.02644604,0.02768117,0.08566219,0.02407896,0.03953801,0.08072526,0.0
35,0.035,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0359202,4.275703e-08,0.08137377,0.04267305,0.05338516,0.05437561,0.07517773,0.05313607,0.06814376,0.06140735,0.02641428,0.02765268,0.08515695,0.02409998,0.03946255,0.08088477,0.0
36,0.036,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03588142,4.280953e-08,0.08140442,0.04286193,0.05336306,0.05431248,0.07518043,0.05319794,0.06820513,0.06126446,0.02638544,0.02763286,0.08472913,0.02409981,0.03941656,0.08100785,0.0
37,0.037,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03582488,4.295565e-08,0.08147487,0.04294656,0.05333235,0.05434882,0.07518212,0.05331817,0.06808237,0.0611352,0.02635458,0.02759323,0.08435993,0.02423222,0.03939667,0.08112375,0.0
38,0.038,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03575304,4.319054e-08,0.08153355,0.04300889,0.05329353,0.05448797,0.07518461,0.05338978,0.06820289,0.06107827,0.02632112,0.02754916,0.08388128,0.02392155,0.03938797,0.08121132,0.0
39,0.039,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03568786,4.370228e-08,0.08155835,0.04306236,0.05326069,0.0545832,0.07518502,0.0534386,0.06822048,0.06103017,0.0262902,0.02750362,0.08356155,0.02355944,0.03936083,0.08129186,0.0
40,0.04,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03562509,4.418756e-08,0.08153453,0.04307789,0.05321957,0.05468365,0.07518453,0.05365088,0.06848897,0.06108119,0.02625823,0.0274768,0.08361192,0.02315581,0.03928925,0.08138877,0.0
41,0.041,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03556839,4.450324e-08,0.08149953,0.04315439,0.05318337,0.05488962,0.07518172,0.0539073,0.06849063,0.06117977,0.02623169,0.02743269,0.08361015,0.02283224,0.0391636,0.08148748,0.0
42,0.042,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0355118,4.477852e-08,0.08141255,0.04322481,0.05315632,0.05499967,0.07518146,0.05417357,0.06825752,0.06118537,0.02621199,0.02738407,0.08355346,0.02248478,0.03895338,0.08152732,0.0
43,0.043,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03547207,4.561755e-08,0.08133572,0.04330572,0.05313269,0.0550888,0.07518008,0.05455081,0.06791472,0.06127848,0.02619209,0.02735538,0.08339178,0.02212184,0.03873173,0.08159982,0.0
