frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26,AU45_r
26,0.026,1.0,1,0.078,0.121,0.039,-0.078,-0.054,0.3854149078233452,0.2497571129859786,0.028570409962044817,0.009647637796364307,0.0002524741518276286,0.0026767418516385434,5.300587354898461e-07,0.0015348692793821928,0.016316852640822898,0.32058278833134446,0.006102930868652898,0.08587928935115341,0.013422178699839204,0.22151842820305073,0.0003710136020913542,0.0012792694313181051,0.0
27,0.027,1.0,1,0.108,0.125,0.04,-0.079,-0.054,0.38327686821505563,0.27202874030252966,0.03151357973774711,0.016427845565228107,0.00037707351635897816,0.0028240881909706514,5.778445285975099e-07,0.00211953942829185,0.01956049608909905,0.32104554695291826,0.007391400794687134,0.08505480985675282,0.014877226311633709,0.16092416356621084,0.00040887148543902274,0.0011731891942594883,0.0
28,0.028,1.0,1,0.103,0.118,0.036,-0.08,-0.054,0.42516900291417653,0.28561272087165984,0.02928663693325553,0.01960120820849816,0.00033950448417286496,0.002650430366779175,4.3604032498431723e-07,0.0018981856352152605,0.026639275298344804,0.3796618322954624,0.007635542861615789,0.08144418007563353,0.013085978525972314,0.182985880075231,0.00032536842742371825,0.001065055153649586,0.0
29,0.029,1.0,1,0.115,0.118,0.037,-0.08,-0.055,0.37951191024548137,0.25720263007068905,0.024290993230911228,0.018376110261349526,0.0003467991035696207,0.002601172477278207,4.513675457276552e-07,0.0018468687330374255,0.025125302217229323,0.3724834362740242,0.007140360233446682,0.07110636409387278,0.011426149094307017,0.19096492532685316,0.00035782341628405395,0.0010973843675742626,0.0
30,0.03,1.0,1,0.117,0.109,0.036,-0.083,-0.054,0.3483831809138318,0.24338126340451788,0.025580228923166953,0.01789163646820054,0.00029001940164788105,0.00237764356331912,3.899761592312499e-07,0.0017569716154688518,0.018374387267370788,0.33066130728512455,0.0057017191371953,0.07554188631768269,0.014818385769461172,0.16283692054455912,0.0003771163527650256,0.0011210656923276387,0.0
31,0.031,1.0,1,0.125,0.115,0.037,-0.086,-0.051,0.4038808260755127,0.27756508881012154,0.031913732810419475,0.01998719617749245,0.0004470456579555592,0.002406026724567284,6.301229946248413e-07,0.0020862514131237023,0.025479204716701526,0.32642306525624365,0.010600416707009041,0.08565572881428864,0.01438496527004035,0.16266974682024984,0.0004634840859620299,0.001251653897744339,0.0
32,0.032,1.0,1,0.121,0.114,0.04,-0.086,-0.051,0.43326628927343314,0.2814157252256864,0.03173112222724377,0.017713547634061973,0.0004924441768604713,0.002654428454166444,5.639993874663012e-07,0.0021135402993683206,0.02194653120731681,0.3509380507002537,0.010813193657828698,0.09868452056756805,0.010777432905920765,0.16540591969737564,0.0003610680789632562,0.001096381057067319,0.0
33,0.033,1.0,1,0.121,0.113,0.038,-0.084,-0.052,0.33998732800261594,0.230229318719735,0.029010270866648456,0.01659637563092733,0.00028518903707421526,0.0023818050307898484,3.940223002967436e-07,0.001636562602922547,0.014346014480435182,0.29315381981450384,0.0054686487913024415,0.07030224619032989,0.016302245284010832,0.15136196220580012,0.000400245392456817,0.001077253796573787,0.0
34,0.034,1.0,1,0.126,0.118,0.039,-0.085,-0.051,0.3399042421643333,0.24638232670776722,0.033056379032152326,0.015238340681208561,0.00023976265187441426,0.001977036014246174,3.7803219622003907e-07,0.0018675251601105677,0.0162555679189843,0.3145376701837343,0.0042464229037915534,0.06976690895341507,0.021189286950478246,0.15385011589230144,0.0004604760629303567,0.0011825755896060055,0.0
35,0.035,1.0,1,0.128,0.116,0.039,-0.085,-0.051,0.3527564594718629,0.24431002587437486,0.023898451994299935,0.018331931957753008,0.00024233212068902225,0.002214216765755549,2.668241100097455e-07,0.0015571926473116945,0.016470531086054025,0.3239168770808732,0.005608571019986536,0.07251936431039142,0.013007848257652431,0.16141337346730983,0.00035189389030473964,0.001067959595383707,0.0
